Title,Source,Type,Theme,Origin,Tone Set,Tonal Center,Scale,CSP,Meter,Rhythmic Content,Hardest Rhythmic,Hardest Melodic,Melodic Form,Rhythmic Form,Classroom Use,Grade Level,Game,Full Melody,Full Rhythm,Source Link,PDFs,MuseScore Embed,Lyrics,Melodic Context
Zudio,"Collected from Barbara Woodring. Chicago, IL.",Play Party,"Dancing, Movement",USA,"l, drm",la,"Natural Minor, la tetratonic",D,4/4,"ta,ti-ti,rest,syn-co-pa,ties,swing",syn-co-pa,"la,",AAA,ABC,"Practice syn-co-pa, Practice low la, Swing 8ths","2,3,4,5","Students form 2 lines of partners facing each other.
“Here we go, Zudio”: Partners join hands and move arms in a sawing motion. 
“Step back, Sally”: Partners drop hands and jump backwards on the beat, clapping on the offbeat. 
“Goin' down the alley”: Head couple dances down the “alley” and rejoins lines at the foot; meanwhile, others step sideways twice toward the top of the set, continuing to clap on the offbeat.
source: kodalycollection.org","l,l,dmmmrrdrrml,l,dmmmrdl,l,dmmrdrml,dmmrdl,l,l,ddmmrdrml,l,ddmmrdl,",tt t tt t tt tt tt t tt t tt t scp t z t t t t t tt tt t t t t t scp t z tt tt t t t tt tt t tt tt t t scp t z,,"Zudio-Traditional_Notation.pdf, Zudio-Stick_Notation.pdf, Zudio-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30970583/embed,"Here we go Zudio, Zudio, Zudio, Here we go Zudio all night long. Step back Sally, Sally Saly, Step back Sally all night long. Goin' down the ally ally ally Goin' down the ally all night long.","l,dmrdrml,dmrdl,dmrdrml,dmrdl,dmrdrml,dmrdl,"
Phoebe in Her Petticoat,"Sharp, J. (1932). English Folk Songs from the Southern Appalachians. London, UK. Oxford University Press.",Folksong,Clothing,"USA, Appalachia","l, drm s",do,"do pentatonic ext,",B,4/4,"ta,ti-ti,rest",rest,"la,",AB,AA,"Practice rest, Introduce low la","1,2,3",No,"mrddrdl,mrddsmrddrdl,dmrrd",tt tt tt t tt tt t z tt tt tt t tt tt t z,,"Phoebe in Her Petticoat-Traditional_Notation.pdf, Phoebe in Her Petticoat-Stick_Notation.pdf, Phoebe in Her Petticoat-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30970817/embed,"Phoebe in her petticoat, Phoebe in her gown. Phobe in her petticoat, all around the town.","mrdrdl,mrdsmrdrdl,dmrd"
Bow Wow Wow,"Chosky, L. & Brummitt, D. (1987). 120 Singing Games and Dances for Elementary Schools. Hoboken, NJ. Prentice-Hall","Circle Game, Partners","Animals, Dogs, Tommy Tucker",USA,drm sl,do ,do pentatonic,D,2/4,"ta,ti-ti,rest",rest,re,AB,AB,"Introduce rest, Practice re","K,1,2","Students form a standing circle of partners. 
M. 1 - Hands on hips and stomp to rhythm L R L
M. 3 - Scold your partner by wagging an index finger
M. 5 - Partners join hands and shuffle to switch places
M. 7 - Same as M. 1 then jump 180 degrees to face a new partner
source: C. Roberts, Kodaly Level 1 materials
",dddmmmmssslsmdmrd,t t t z t tt t z tt tt tt t t t t z,,"Bow Wow Wow-Traditional_Notation.pdf, Bow Wow Wow-Stick_Notation.pdf, Bow Wow Wow-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30971033/embed,"Bow wow wow, whose dog art thou? Little Tommy Tucker's dog, Bow wow wow.",dmslsmdmrd
Anta Gata Doko Sa?,"Scotty Iwafuchi (2011). Kenmore, WA. Transcribed by Kelly Foster Griffin",Passing Game,"Location, Animals, Raccoons",Japan,"l, drm",la (ends on re),la tetratonic,A,"6/8, 9/8","ta-ti,tum,rest,ti-rest",tum,"la,",ABCC'DE,ABCC'DE,"Practice low la, Practice 6/8, Practice triple meter, Language: Japanese","4,5","Students form a seated circle. Students bounce a ball to the beat. On each “sa”, pass the ball to the right.
source: C. Roberts, Kodaly Level 1 materials","l,dddrdrmdrmmrdl,l,dddrdrmmrdl,rdl,l,mmmmddrrmmrdl,l,mmmddrmmrdl,l,drl,drmdrl,mmmmddrdl,dr",t ti t ti t ti t tiz t ti t tiz t ti t ti t tiz t ti t ti t tiz t ti t ti t ti t tiz t ti t tiz z ti t ti t ti t ti t ti t ti t ti t tiz z ti t ti tum t ti tum t ti t ti t tiz t ti t tiz t ti t tiz t ti t tiz z ti t ti t ti t ti t ti tum tum tum z,,"Anta Gata Doko Sa-Traditional_Notation.pdf, Anta Gata Doko Sa-Stick_Notation.pdf, Anta Gata Doko Sa-Stick_Notation_no_melody.pdf, ",https://musescore.com/user/14822371/scores/31080860/embed,"Senba sa. Senbayamaniwa tanuki ga otte sa Sore oryoshi ga teppo de ottesa. Nite sa, yaite sa, kutte sa oreo kono ha de choito kabuse. Where are you from? But there is a raccoon in Senba. Hunt it, cook it, eat it and bury it in leaves.","l,drdrmdrmrdl,drdrmrdl,rdl,mdrmrdl,mdrmrdl,drl,drmdrl,mdrdl,dr"
Cut the Cake,"Choksy, L. (1988). 120 Singing Games and Dances for Elementary Schools. Upper Saddle River, NJ. Prentice Hall","Circle Game, Chase Game","Food, Movement",Canada,drmfsl d',do,do hexatonic ext',A,2/4,"ta,ti-ti,rest",rest,fa,ABAC,ABCB,"Introduce rest, Introduce fa","3,4,5","Students form a standing circle. The teacher chooses a cake cutter (CC) to stand outside of the circle.
M. 1 – Students in the circle clap on the steady beat. The CC walks around outside of the circle.
M. 3 – Students shake (in place)
M. 5 – Students hold hands
End – The CC stops on the word “cake”. The CC does a chop on the grasped hands between two students. Those two students run away from the CC in opposite directions around the circle to try to reach the spot where they were standing. The CC holds up their hands for a high high-five. The first runner to high-five becomes the new CC. Note: when the runners are going around the circle, they must pass each other. Encourage them to high-five each other to avoid a cakey collision. 
source: bethsnotesplus.com
",smsmlsd'sssssmsmlsssfmrd,tt tt t t tt tt t z tt tt t tt tt tt t z,,"Cut the Cake-Traditional_Notation.pdf, Cut the Cake-Stick_Notation.pdf, Cut the Cake-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31081148/embed,"Clap your hands together, Give yourself a shake! Make a happy circle and then you cut the cake!",smsmlsd'smsmlsfmrd
Great Big House,"Locke, E. (2004). Sail Away: 155 American Folk Songs to Sing, Read and Play. New York, NY. Boosey & Hawkes.",Play Party,"Cities, Silly, Food, Pies",USA,drm sl,do,do pentatonic,G,2/4,"ta,ti-ti,rest",ti-ti (rest at end),re,ABAC,ABAC,"Practice ta ti-ti, Introduce re","1,2,3","Students form a standing circle and are given an alternating number 1 or 2.
Verse 1
M. 1 – Ones step forward 4 steps (on the quarter note beats)
M. 3 – Ones step back 4 steps
M. 5 – Twos step forward 4 steps
M. 7 – Twos step back 4 steps
Verse 2
M. 1 – Ones step forward 4 steps and join hands
M. 3 – Twos step forward 4 steps while reaching into the circle created by the Ones. They join hands with other Twos.
M. 5 – Twos raise their joined hands over the heads of the Ones and stand behind the Ones' circle.
M. 7 – Ones raise their joined hands over the heads of the Twos and stand intertwined
Verse 3
M. 1 – All students – left foot step left, bring right foot to step together with left foot. (4 times)
M. 5 – Ones lift their hands over the heads of the Twos
M. 7 – Twos circle left 4 small steps until they are each in between 2 different people
source: bethsnotesplus.com",msslmssmsslmrmsslmssmsmrd,tt tt tt t tt tt t t tt tt tt t tt tt t z,,"Great Big House-Traditional_Notation.pdf, Great Big House-Stick_Notation.pdf, Great Big House-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31081433/embed,"Great big house in New Orleans, Forty stories high, Ev'ry room that I've been in, filled with pumpkin pie. Went down to the old mill stream, To fetch a pail of water Put one arm around my wife, The other 'round my daughter. Fare thee well, my darling girl, Fare thee well, my daughter, Fare thee well, my darling girl, With the golden slippers on her.",mslmsmslmrmslmsmsmrd
Here Comes a Bluebird,"Erdei, P. & Komlos, K. (1974). 150 American Folk Songs to Sing, Read, and Play. New York, NY. Boosey and Hawkes.","Circle Game, Partners","Animals, Birds, Partners, Silly",USA,drm sl,do,do pentatonic,A,4/4,"ta,ti-ti,rest,to-o",to-o,re,ABAB,ABCB,"Practice rest, Introduce re","1,2,3","Students form a standing circle, holding raised hands. The teacher selects the “Bluebird” who stands outside the circle.
As students sing, Bluebird flies in and out of the circle (under the raised hands of the students). On “take a little partner,” Bluebird chooses a partner, and both students go in the middle of the circle and hop in place. The chosen partner becomes the new Bluebird.
Alternate ending: Both students remain as Bluebirds, and the amount of birds grows exponentially. 
source: bethsnotesplus.com, C. Roberts, Kodaly Level 1 materials",sslsmsslsmmrrrrdmdssslsmsslsmmrrrrdmd,t tt t t t tt t t to tt tt t t t z tt tt t t t tt t t to tt tt t t t z,,"Here Comes a Bluebird-Traditional_Notation.pdf, Here Comes a Bluebird-Stick_Notation.pdf, Here Comes a Bluebird-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31081643/embed,"Here comes a bluebird through my window, Hey, diddle duma day day day. Take a little partner, hop in the garden, Hey, diddle duma day day day.",slsmslsmrdmdslsmslsmrdmd
Kaeru No Uta,"Campbell, P.S., McCollough-Barbson, E. & Tucker, J.C. (1994). Roots and Branches. Danbury, CT. World Music Press",Canon,"Animals, Frogs, Sounds",Japan,drmfsl,do,do hexachordal,D,4/4,"ta,ti-ti,rest",rest,fa,ABCA,AABC,"Practice rest, Practice fa, Part singing, 4 part","2,3,4,5",No,drmfmrdmfslsfmddddddrrmmffmrd,t t t t t t t z t t t t t t t z t z t z t z t z tt tt tt tt t t t z,`,"Kaeru No Uta-Traditional_Notation.pdf, Kaeru No Uta-Stick_Notation.pdf, Kaeru No Uta-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31081886/embed,Kaeruno uta ga Kikoete kuruyo Gwa! Gwa! Gwa! Gwa! Gero gero gero gero gwa gwa gwa! The song of the frog I can hear,drmfmrdmfslsfmdrmfmrd
Weevily Wheat,"Sandburg, C. (1927). The American Songbag. New York, NY. Harcourt Brace and Company","Circle Game, Groups of 4","Food, Grains, Math, Multiplication",USA,"s,l, drm sl",do,"do pentatonic ext,",A,4/4,"ta,ti-ti,tika-ti,syn-co-pa",syn-co-pa,"so,",ABAB,ABCD,"Practice syn-co-pa, Practice tika-ti, Practice low so, Classroom: Math","3,4,5","Students form standing circle groups of 4. Before starting, each student gets a number 1,2,3 or 4.
M. 1 – All circle left
M. 3 – All circle right
M. 5 – Face center. On each beat, each student adds right hand to the middle, stacking hands on top of each other. (1,2,3,4)
M. 6 – On each beat, each student adds their left hand to the stack. (1,2,3,4)
M. 7 – On each beat, each student stacks their right hand on top, pulling their hand from the bottom of the pile. (1,2,3,4)
M. 8 – On each beat, each student stacks their left hand on top, pulling their hand from the bottom of the pile. (1,2,3,4)
source: bethsnotesplus.com
","mds,l,s,l,s,mdmsslsmdrdl,l,s,s,mrddmmddl,l,s,mmdmsslsmmdrdl,l,s,s,mrdd",scp tkt t scp t t tt tt tt tt tt tt t t tt tt tt t tt tt t t tt tkt tt tt tt tt t t,,"Weevily Wheat-Traditional_Notation.pdf, Weevily Wheat-Stick_Notation.pdf, Weevily Wheat-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31141304/embed,"Don't want your weevily wheat, don't want your barley, Take some flour and half an hour and bake a cake for Charlie. Five times five is twenty five, five times six is thirty, Five times seven is thirty five and five times eight is forty.","mds,l,s,l,s,mdmslsmdrdl,s,mrdmdl,s,mdmslsmdrdl,s,mrd"
Over the River Charlie,Library of Congress AFS 01732 A4 Collected by Alan and Elizabeth Lomax. Variation from Beth's Notes.,Line Dance,"Food, Location, Grains",USA,"s, te, d mfs",do,"Mixolydian, do pentatonic* ext, ",A,4/4,"ta,ti-t,ti-tika,tika-ti,tim-ka",tim-ka,"te,",ABAB,ABCD,"Practice ti-tika, Practice tika-ti, Practice low te, Learn mixolydian","4,5","Students form two long lines facing each other. The two students at the end of each line are the head couple.
Refrain:
Ms. 1-4 = Head couple sashay down between the two lines.
Ms. 5-8 = Head couple sashay up to where they started.
Verse 1:
Ms. 9-12 = Head couple right arm swing 1.5 times around
Ms. 13-16 = Head couple left arm swing one student from the opposite line.
Refrain: Repeat Ms. 9-16 with next students in the lines.
The head couple continues in the same way until all students have had a turn to swing the head couple. Then, the Head couple stands at the end of each line and a new head couple begins the sequence.
source: bethsnotesplus.com","mdddddmmdte,te,te,te,dte,s,s,mdddddmfsfmdte,ddmmddmmdte,te,te,dte,s,s,mmddmffssfmdte,dd",ttk ttk tt t ttk tt tt t ttk ttk tt t tt tt t t tt tt tt t tt tt tt t tt tt ttk tmk tt tt t t,,"Over the River Charlie-Traditional_Notation.pdf, Over the River Charlie-Stick_Notation.pdf, Over the River Charlie-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31141703/embed,"Over the river to feed my sheep, over the river, Charlie, Over the rivver to feed my sheep, feed buckwheat and barley. Charlie, he's a lovely lad, Charlie, he's a dandy, Ev'ry time he goes to the store, he gets those girls some candy.","mdmdte,dte,s,mdmfsfmdte,dmdmdte,dte,s,mdmfsfmdte,d"
Skin and Bones,Transcribed from album: O Love is Teasin' (1985) Elektra 60402-1,Strophic with Refrain,"Spooky, Halloween","USA, Appalachia","l, drm",la,la tetratonic,E,6/8,"ta,ti-ti-ti,ta-ti,rest,ti,tum,anacrusis",tum,"la,",AB,AB,"Practice 6/8, Practice low la","K,1,2,3",No,"l,ddl,ddl,drl,mrdl,",ti ttt ttt t ti tum tum t ti tum z,,"Skin and Bones-Traditional_Notation.pdf, Skin and Bones-Stick_Notation.pdf, Skin and Bones-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31143647/embed,There was an old woman all skin and bones Ooooooh She lived down by the old graveyard One night she thought she'd take a walk She walked down by the old graveyard She saw the bones a-layin' around She went to the closet to get a broom She opened the door and BOO,"l,dl,dl,drl,mrdl,"
Lemonade,"Locke, E. (1978). American Folk Songs for Teaching Oakland, CA. Holy Names College","Childhood Chant, Solo Singing, Student Prompt","Food, Drinks, Jobs, Trading",USA,m s,mi,Childhood Chant/mi bitonic,G,2/4,"ta,ti-ti",ti-ti,so/mi,ABABABA,ABBAACA,"Practice so/mi, Practice ta ti-ti","K,1","Students are divided into two (mostly) equal groups. Each group decides a trade to act out, and the other team must guess the job. Sing the song with the guessed trade.",ssmsmsmssmssmssmmssm,tt t t t t t tt t tt t tt tt tt t,,"Lemonade-Traditional_Notation.pdf, Lemonade-Stick_Notation.pdf, Lemonade-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31166654/embed,"Here I come. Where from? New York. What's your trade? Lemonade. Give us some, don't be afraid.",smsmsmsmsmsmsm
No Robbers Out Today,"Brewster, P. et al. (1952). Frank C. Brown Collection of North Carolina Folklore, Vol. I. Durham, NC. Duke University Press",Chase Game,"Stealing, Music",USA,m s,mi,Childhood Chant/mi bitonic,A,2/4,"ta,ti-ti",ti-ti,so/mi,ABABCCCB,ABABCCCB,"Practice so/mi, Practice ta ti-ti","K,1","Students form a long line along one side of the class facing the opposite wall. A “Robber” is selected to stand in the middle of the room.
After the song is sung, the students rush to the other side of the room while trying to avoid the Robber tagging them. Those tagged join the middle as new Robbers. Repeat.
",smmssmsmmssmssmmssmmssmmssm,t tt tt t t tt tt t tt tt tt tt tt tt tt t,,"No Robbers Out Today-Traditional_Notation.pdf, No Robbers Out Today-Stick_Notation.pdf, No Robbers Out Today-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31167044/embed,"No robbers out today, No robbers out today, We are singing on our way, for there's no robbers out today,",smsmsmsmsmsmsmsm
Arirang,Many sources. First recorded in 1896 by Alice C. Fletcher: Library of Congress AFC 1948/079,Traditional Song,"Beauty, Love",Korea,"s,l, drm s",do,"do pentatonic ext,",D,3/4,"ta,ti-ti,rest,to-o,to-o-o,tam-ti",tam-ti,"so,",ABCB,ABCB,"Introduce tam-ti, Practice low so, Language: Korean","3,4,5",No,"s,l,s,l,drdrmrmdl,s,l,s,l,drdrmrdl,s,l,drddsssmrmrmdl,s,l,s,l,drdrmrdl,s,l,drdd",tmt tt tmt tt t tt tt tmt tt tmt tt tt tt tt tmt t to z to t t t t t tt tt tmt tt tmt tt tt tt tt tmt t too,,"Arirang-Traditional_Notation.pdf, Arirang-Stick_Notation.pdf, Arirang-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31167380/embed,A ri rang A ri rang A ra ri yo A ri rang go gae ro neom eo gan da. 1.Na reul beo ri go ga shi neun nim eun Shim ri do mot ga seo bal byeong nan da.,"s,l,s,l,drdrmrmdl,s,l,s,l,drdrmrdl,s,l,drdsmrmrmdl,s,l,s,l,drdrmrdl,s,l,drd"
"Dong, Dong, Dongdaemun",Beth's Notes. Accessed 2026.,Gate Game,"Location, Gates",Korea,drmfsl d',do,do hexatonic ext',G,4/4,"ta,ti-ti,rest,to-o",rest (to-o at end),fa,ABCD,AABC,"Practice ta ti-ti, Practice fa","2,3,4","Students form a long line. Two students are selected to hold hands high to form a gate. 
Students sing the song as they pass under the gate. At the end, the students lower their hands and catch a student. That student becomes one of the students to form the gate.
source: bethsnotesplus.com",ssslsfmmmfffsfmrrrdrmfslsd'smrd,t t tt tt t t t z t t tt tt t t t z t t t t t t t z t t t t to z z,,"Dong Dong Dongdaemun-Traditional_Notation.pdf, Dong Dong Dongdaemun-Stick_Notation.pdf, Dong Dong Dongdaemun-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31167692/embed,"Dong, Dong, Dongdaemuneul yeoreora, Nam, Nam, Namdaemuneul yeoreora, Yeol dusiga doemyeoneun, Muneul danneunda.",slsfmfsfmrdrmfslsd'smrd
Frosty Weather,"So Early in the Morning: Irish Children's Traditional Songs, Rhymes and Games. Tradition Records TLP 1034. A2. Collected by Diane Hamilton.",Circle Game,"Weather, Winter, Holidays, Christmas",Ireland,drm sl,do,do pentatonic,G,4/4,"ta,tam-ti,tim-ka",tim-ka,re,AABA',AABC,"Practice tim-ka, Practice re","1,2,3","Students form a standing circle, holding hands.
M. 1 - Students walk clockwise around the circle
M. 5 - Students drop their hands and rotate in place
M. 7 - Students huddle together in the center on “we all go together”
",smrdsmrdsssslsmmrd,t t t t t t t t tmk t tmt t tmk t t,,"Frosty Weather-Traditional_Notation.pdf, Frosty Weather-Stick_Notation.pdf, Frosty Weather-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31192505/embed,"Frosty weather, snowy weather, When the wind blows, we all go together.",smrdsmrdslsmrd
Five Fat Turkeys,Beth's Notes. Accessed 2026.,"Loud and Soft, Dynamics","Animals, Birds, Holidays, Thanksgiving, Autumn",USA,"s, drmfs",do,"do pentachordal ext,",F,4/4,"ta,ti-ti,to-o,ti,ti-rest,rest","ti, ti-rest","so,",AA'BC,ABCD,"Practice ti, Practice low so","K,1,2",No,"ddrrmds,s,ddrmmds,s,s,dddrrmmmffsmds,s,d",t t tt t to t t t t t tt to t tt t tt t t tt t t tiz ti t tt t t to z z,,"Five Fat Turkeys-Traditional_Notation.pdf, Five Fat Turkeys-Stick_Notation.pdf, Five Fat Turkeys-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31192877/embed,"Five fat turkeys are we, We slept all night in a tree When the cook came around, we couldn't be found, and that's why we're here, you see!","drmds,drmds,drmfsmds,d"
Poor Old Crow,"Seegar, R. (1948). American Folk Songs for Children. New York, NY. Doubleday & Company, Inc.",Story Song,"Animals, Birds, Food, Autumn",USA,drmfs ted',do,"Mixolydian, do hexatonic ext'",C,4/4,"ta,ti-ti,rest,to-o,tam-ti",tam-ti,te,AA'BA',ABCB,"Practice tam-ti, Practice mixolydian","2,3,4",No,ddmmddmssfsmrdddmddmssfssmrddsstefssted'd'd'tesfmdddmddmssfssmrd,t t tmt t t t z t t t t t t to t t t z t t t z t t t tt t t t tiz ti t t tmt t t t z t tt t t t t to t t t z t t t z t t t tt t t to,,"Poor Old Crow-Traditional_Notation.pdf, Poor Old Crow-Stick_Notation.pdf, Poor Old Crow-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31193228/embed,"Three old crows sat on a tree, Just as black as crows could be. Poor old crow, poor old crow, Just as black as a crow could be. The old hecrow says to his mate: ""What shall we do for meat to eat?"" Poor old crow, poor old crow, Just as black as a crow could be.",dmdmsfsmrdmdmsfsmrdstefsted'tesfmdmdmsfsmrd
Songaji Baby Calf,"Choi, R. (2014). Korean Folk Songs. North Clarendon, VT. Tuttle Publishing.",Traditional Song,"Animals, Cows, Family",Korea,"s,l, drmfsl",do,"do hexatonic ext,",Bb,4/4,"ta,ti-ti,to-o,tam-ti,to-o-o-o",tam-ti,fa,AB,AB,"Practice low so, Language: Korean","2,3,4",No,"sslsmmfmrdl,ds,l,dl,s,dmsslsmrd",t tt to t tt to tmt t t tooo t t t t t t to t tt t t tooo,,"Songaji Baby Calf-Traditional_Notation.pdf, Songaji Baby Calf-Stick_Notation.pdf, Songaji Baby Calf-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31247126/embed,"Songaji songaji eolluk songaji. Eomma sodo eollukso eomma dalmanne. Baby calf, baby calf, spotted baby calf. Mommy cow is spotted too, and she looks just like you.","slsmfmrdl,ds,l,dl,s,dmslsmrd"
"Jjak Jjak Ggung Clap, Clap, Clap","Choi, R. (2014). Korean Folk Songs. North Clarendon, VT. Tuttle Publishing.",Traditional Song,"Family, Babies",Korea,drm sl d',do,do pentatonic ext',G,4/4,"ta,ti-ti,to-o",to-o,do',AB,AA,"Practice to-o, Practice high do, Language: Korean","2,3,4",No,ssmmrdddllssmrrmd'lslsmmrlsmsmrmd,t t t tt t t to t t t tt t t to t t t tt t t to t t t tt t t to,,"Jjak Jjak Ggung Clap Clap Clap-Traditional_Notation.pdf, Jjak Jjak Ggung Clap Clap Clap-Stick_Notation.pdf, Jjak Jjak Ggung Clap Clap Clap-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31247696/embed,"Eomma appeseo jjakjjakggung, abba appeseo jjakjjakggung. Omma hansumeun jamjago abba jureumsal pyeojeora Clap for Mommy clap, clap, clap Clap for Daddy clap, clap, clap Mommy's worries gone astray Daddy's wrinkles fade away.
",smrdlsmrmd'lslsmrlsmsmrmd
Nabiya Butterfly,"Choi, R. (2014). Korean Folk Songs. North Clarendon, VT. Tuttle Publishing.",Traditional Song,"Nature, Insects, Butterflies, Birds",Korea,drmfs,do,do pentachordal,A,2/4,"ta,ti-ti",ti-ti,fa,ABCD,ABBA,"Practice ta ti-ti, Practice fa, Language: Korean","2,3,4",No,smmfrrdrmfssssmmmfrrmdsmrmdrrrrrmfmmmmmfssmmfrrdmssmmm,tt t tt t tt tt tt t tt tt tt t tt tt tt t tt tt tt t tt tt tt t tt t tt t tt tt tt t,,"Nabiya Butterfly-Traditional_Notation.pdf, Nabiya Butterfly-Stick_Notation.pdf, Nabiya Butterfly-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31248143/embed,"Nabiya nabiya iri nara oneora. Norangnabi huinnabi chumeulchumyeo oneora. Bombarame ggonnipdo bangguet bangguet useumyeo. Chamsaedo jjaekjjaekjjaek noraehamyeo chumchunda. Butterfly, butterfly, come on over, fly to me. Brightly colored butterflies, dancing, dancing in the breeze. Spring winds make the petals laugh, laughing, laughing, happily. Sparrows chirp, tweet, tweet, tweet, singing, dancing in the trees",smfrdrmfsmfrmdsmrmdrmfmfsmfrdmsm
Saeya Saeya Blue Birds,"Choi, R. (2014). Korean Folk Songs. North Clarendon, VT. Tuttle Publishing.",Traditional Song,"Animals, Birds, Nature",Korea,"l, rm l",la,la tritonic ext',G,3/4,"ta,to-o-o",to-o-o,"la,",ABAB,ABAB,"Practice to-o-o, Practice 3/4, Language: Korean","2,3,4,5",No,"rl,mrmrl,l,mlmmmrl,l,rl,mrmrl,l,mlmmmrl,l,",t t t too t t t too t t t too t t t too t t t too t t t too t t t too t t t too,,"Saeya Saeya Blue Birds-Traditional_Notation.pdf, Saeya Saeya Blue Birds-Stick_Notation.pdf, Saeya Saeya Blue Birds-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31248560/embed,"Saeya saeya parang saeya. Nokdu batte anjjimara nokdu ggotchi ddeoreojimyeon cheongpojangsu ulgoganda Blue birds, blue birds, hear my song. Fly away from these greenbean fields, For you will make the farmers cry, If flowers drop and crops they die.","rl,mrmrl,mlmrl,rl,mrmrl,mlmrl,"
Xiao Bao Bao,"Oral, sung by CJ Kennedy, collected M. Lim, 7/23",Lullaby,"Sleep, Animals, Dogs, Cats, Birds, Space",China,"s,l, drm sl",do,"do pentatonic ext,",C,2/4,"ta,ti-ti,to-o,tam-ti,tim-ka",tim-ka,"so,",ABCD,ABCD,"Practice low so, Practice low la, Language: Chinese","3,4,5",No,"smlsmmrdml,l,s,l,dl,dmrssmlsmrrdrml,s,smrml,s,mrd",t tmk to tt tt to tt tt tmt t t to tt tt t t tmk tt to tt tt tmt tt tt to,,"Xiao Bao Bao-Traditional_Notation.pdf, Xiao Bao Bao-Stick_Notation.pdf, Xiao Bao Bao-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/35408675/embed,"Xiao bao bao ya Kuai kuai shui jiao Wuya xique Shu shang shui liao Xiao gou xiao mao Wo li shui liao Yue liang xing xing Ye dou shui liao Little baby, fall asleep quickly, Crows and magpies asleep in the trees. Little dogs and cats asleep in the den, Moon and stars, all asleep too.","smlsmrdml,s,l,dl,dmrsmlsmrdrml,s,smrml,s,mrd"
Let Us Chase the Squirrel,"Erdei, P. & Komlos, K. (1974). 150 American Folk Songs to Sing, Read, and Play. New York, NY. Boosey and Hawkes, p. 6.",Scatter Game,"Animals, Squirrels, Nature",USA,drm s,do,do pentatonic,D,2/4,"ta,ti-ti,rest",ti-ti (rest at end),re,ABAC,ABAC,"Practice re, Practice ti-ti","1,2,3","Students form groups of three. Two students make a tree by holding hands while the third student, “Squirrel”, stands between the tree.
While singing, the tree students move their hands back and forth. At the end of the song, the tree students rase and the Squirrels scatter to find a new tree. The game works best when there are extra Squirrels that must find an open tree.
source: C. Roberts, Kodaly Level 1 materials",ddrrmsddrrmmrrddrrmsddrrd,tt tt t t tt tt tt tt tt tt t t tt tt t z,,"Let Us Chase the Squirrel-Traditional_Notation.pdf, Let Us Chase the Squirrel-Stick_Notation.pdf, Let Us Chase the Squirrel-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31425677/embed,"Let us chase the squirrel, Up the hick'ry, down the hick'ry, Let us chase the squirrel, Up the hick'ry tree!",drmsdrmrdrmsdrd
Mi Gatito,"Mills, L. (2010s). ¡Salta Conejo! A Collection of Latin American Children's Songs for Teachers and Parents. Found of madrobinmusic.com",Childhood Chant,"Animals, Cats, Rats",Latin America,m s,mi,Childhood Chant/mi bitonic,A,2/4,"ta,ti-ti",ti-ti,so/mi,AA,AA,"Practice so/mi, Practice ta ti-ti, Language: Spanish","K,1,2",No,ssmmssmssmmssm,tt tt tt t tt tt tt t,,"Mi Gatito-Traditional_Notation.pdf, Mi Gatito-Stick_Notation.pdf, Mi Gatito-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/31425851/embed,Mi gatito regalón Ha cazado un raton.,smsmsmsm
